rule,paragraph,directive
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:62.4  Business Burglary
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:62.8  Home Invasion
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:64  Armed Robbery
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:66  Extortion or Threats
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:67 Theft
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:70  False Accounting
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:81  Indecent Behavior with a Juvenile
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:83  Soliciting for Prostitution
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:93 Cruelty to Juveniles
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:94  ILLEGAL CARRYING AND DISCHARGE OF WEAPONS
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:95.7  Possession of a Firearm with an Obliterated Serial Number
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:98  Operating a Vehicle While Intoxicated
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 14:99  Reckles Operation of a Vehicle
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:415  Operating a motor vehicle with a suspended drivers license
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:50 Careless Operation of a Motor Vehicle
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:51 No Vehicle License
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:56A  Obedience to Officers
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:58  Speeding
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:61 Maximum Speed Limit
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:64 General Speed Law
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:78  One Way
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:81  Following Vehicles
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,R.S. 32:863.1 No Proof of Insurance
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,RS 14:138 Payroll Fraud
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 1001: Statements or Entries Generally
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 1512:  Tampering With A Witness Victim Or An Informant
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 1519: Destruction Alteration or Falsification of Records in Federal Investigations and Bankruptcy
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 241: Conspiracy Against Rights (Jose Holmes)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (James Brissette)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (Jose Holmes)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (Leonard Bartholomew)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (Lesha Bartholomew)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (Ronald Madison)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 242: Deprivation of Rights Under Color of Law (Susan Bartholomew)
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 371: Conspiracy to Commit Offense or to Defraud United States
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 371: to Obstruction of Justice
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 4:  Misprision of a Felony
RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Title 18 of the United Stated Code Section 924 (c): Penalties
RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Policy # 300 - Procedures; Policy 300 - PR300 - Use of Force; Paragraph PR300.7 - Reporting the Use of Force; Subparagraph 300.7.2 - Notification to Supervisors
RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,Policy # 300 - Procedures; Policy 306 - PR306 - Handcuffing and Restraints; Paragraph PR306.2 - Instructions
RULE 2: MORAL CONDUCT,PARAGRAPH 07 - COURAGE,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,N/A
RULE 2: MORAL CONDUCT,PARAGRAPH 09 - FAILURE TO COOPERATE/WITHHOLDING INFORMATION,N/A
Rule 3: Professional Conduct,PARAGRAPH 01 - Professionalism,
Rule 3: Professional Conduct,PARAGRAPH 03 - Neatness and Attire,
Rule 3: Professional Conduct,PARAGRAPH 09 - Use of Alcohol/Off Duty,
Rule 3: Professional Conduct,PARAGRAPH 11 - Use of Tobacco,
Rule 3: Professional Conduct,PARAGRAPH 13 - Use of Social Media,
Rule 4: Performance of Duty,PARAGRAPH 01 - Reporting for Duty,
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 1-10 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 11-12 Authority Within Jurisdiction
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 13 Authority Outside Jurisdiction
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 14-15 Interstate Peace Officer Authority
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 16-21 Emergency Police Officers
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 22-24 Grants of Jurisdiction or Authority Within the City of New Orleans
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 25-26 Harbor Police
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 27-31 Orleans Levee District and Lake Front Airport. 
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 32-35 University or College Police
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 36-39 Federal Property Within the City of  New Orleans
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority 40-41 US Military Jurisdiction within the City of New Orleans
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority Appendix A Agencies with Exclusive or Concurrent Jurisdiction in the City of New Orleans
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1 Law Enforcement Authority Appendix B  Facilities Covered by DHS and other Federal Agencies
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1.1 Oath of Office 1-3 Oath
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.1.2 Law Enforcement Credentials and Certifications 1-13 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.14 Arrest of Postal Employees 1-2 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.14 Arrest of Postal Employees 3-4 Arresting Officer Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.14 Arrest of Postal Employees 5-8 Supervisor Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.14 Arrest of Postal Employees 9-10 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.17 ARREST OF A SPECIAL OFFICER, RESERVE POLICE OFFICER, RESERVE SHERIFF’S DEPUTY OR ANY HONORARY OFFICER OR HONORARY DEPUTY None Purpose and Definitions"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.17 ARREST OF A SPECIAL OFFICER, RESERVE POLICE OFFICER, RESERVE SHERIFF’S DEPUTY OR ANY HONORARY OFFICER OR HONORARY DEPUTY 1-4 Arresting Officer Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.17 ARREST OF A SPECIAL OFFICER, RESERVE POLICE OFFICER, RESERVE SHERIFF’S DEPUTY OR ANY HONORARY OFFICER OR HONORARY DEPUTY 5-11 Supervisor Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.17 ARREST OF A SPECIAL OFFICER, RESERVE POLICE OFFICER, RESERVE SHERIFF’S DEPUTY OR ANY HONORARY OFFICER OR HONORARY DEPUTY 12 Central Evidence and Property Commander's Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.17 ARREST OF A SPECIAL OFFICER, RESERVE POLICE OFFICER, RESERVE SHERIFF’S DEPUTY OR ANY HONORARY OFFICER OR HONORARY DEPUTY 13 Public Integrity Bureau Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 ARREST OF A LAW ENFORCEMENT OFFICER FROM ANOTHER JURISDICTION None Purpose and Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 ARREST OF A LAW ENFORCEMENT OFFICER FROM ANOTHER JURISDICTION 1-4 Arresting Officer Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 ARREST OF A LAW ENFORCEMENT OFFICER FROM ANOTHER JURISDICTION 5-8 Supervisor Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 ARREST OF A LAW ENFORCEMENT OFFICER FROM ANOTHER JURISDICTION 9 Central Evidence and Property Commander's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.18 ARREST OF A LAW ENFORCEMENT OFFICER FROM ANOTHER JURISDICTION 10-11 Public Integrity Bureau Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.22 ""ARREST OF A CITY OF NEW ORLEANS EMPLOYEE"" None Purpose  "
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.22 ""ARREST OF A CITY OF NEW ORLEANS EMPLOYEE"" 1-3 Arresting Officer Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.22 ""ARREST OF A CITY OF NEW ORLEANS EMPLOYEE"" 4-9 Supervisor Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.22 ""ARREST OF A CITY OF NEW ORLEANS EMPLOYEE"" 10-11 Public Integrity Bureau Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 6-9 Officer Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 10-15 Restrictions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 16-19 Seizing Equipment
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 20 Response to Being Recorded
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 21-23 Arrest
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.10 TITLE: PUBLIC RECORDING OF POLICE OFFICERS 24 Supervisory Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 1-6 Policy Statement and Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 7-19 General Requirements 
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 20-22 Consent to Search
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 23 Consensual Contact
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 24 Performing a stop/detention
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 25-27 Justification for Pat-down searches/frisks
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 28 Performing a pat-down search/frisk
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 29-30 Arrest and Transportation Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 31-33 Searches of Vehicles with Arrest
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 34 Custodial Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 35 Searches at Any NOPD Facility
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 36-42 Handling of Arrestee's Property
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 43-46 Handling of Arrestee's Currency or Valuables
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 47-48 Strip Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 49-50 Strip Search Reporting Requirements
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 51-53 Body Cavity Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 54-55 Conducting Body Cavity Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4 Search and Seizure 56-60 Blood, Saliva and DNA Samples"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 61-63 Documentation- Officer's Responsiblities16/1341
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 64-70 Documentation - Supervisor's Responsibilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4 Search and Seizure 71 Training
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 1-2 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 3 Levels of Police-Citizen Contact
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 4-18 Terry Stops
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 19-20 Consent Searches
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 21 Anonymous Tips
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 22-30 Reporting
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 31-34 Supervisors Shall Approve the Documentation of Terry Stops
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.4.1 Stops/Terry Stops 35-37 Records
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4.2 ""SEARCH WARRANT CONTENT, FORMS AND REVIEWS""  Purpose  "
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4.2 SEARCH WARRANT CONTENT, FORMS AND REVIEWS 1 Search Warrants-District/Unit Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4.2 ""SEARCH WARRANT CONTENT, FORMS AND REVIEWS"" 2-8 Search Warrant Preparation-Officers Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4.2 ""SEARCH WARRANT CONTENT, FORMS AND REVIEWS"" 9-14 Officer's Responsibilities during and after warrant execution"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.2.4.2 ""SEARCH WARRANT CONTENT, FORMS AND REVIEWS"" 15-23 Supervisor's Responsibilities"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.6 Alternatives to Arrest - Diversion 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.6 Alternatives to Arrest - Diversion  Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.2.6 Alternatives to Arrest - Diversion 6-17 Lead Process
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force N/A Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 1-5 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 6 Use of Force Principles
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 7 Medical Attention
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 8-12 Authority to Use Reasonable Force
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 13-15 Deadly Force
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 16 Determining the Reasonableness of Force
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 17 De-escalation
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 18 Supervisory Response to Force Incidents
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 19 Force Levels
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 20-21 Levels of Control (see UF Continuum) 
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 22 Use of Force Continuum - illustration
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 23 Duty to Intercede
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 24-31 Prohibited Actions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 32  Oleoresin Capsicum Spray Prohibited
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3 Use of Force 33 Dangerous Animals
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 1-4 Policy Statement 
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices  Definitions
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 5-7 Handcuffing Technique
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.3.1.1 Handcuffing and Restraint Devices 8-10 Issuance, Maintenance and Carrying Restraint Devices"
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 11-17 Use of Restraints
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 18-20 Dangers of Restraints
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 21-28 Restraint of Suspects Being Detained
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 29 Restraint of Suspects Under Arrest Who Will Be Booked  Handcuffing and Restraint Devices 30-32 Restraint of Pregnant Persons
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 33-40 Restraint of Juveniles
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 41 Restraint on Persons with Disabilities
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 42-51 Application of Handcuffs or Flex Cuffs
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 52-53 Notification of Restraint Use Other Than Handcuffs
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 54 Application of Auxiliary Restraint Devices
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 55 Application of Leg Restraints
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 56 Additional Leg Restraint Considerations
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 57 Guidelines For the Use of Leg Restraints
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 58 Extended Transport Times
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.1 Handcuffing and Restraint Devices 59-60 Required Documentation
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,1.3.1.2 Control Devices and Techniques 1-2 Policy Statement
Rule 4: Performance of Duty,PARAGRAPH 02 - Instructions from Authoritative Source,"1.3.1.2 Control Devices and Techniques 3-4 Issues, Maintenance and Carrying"
